               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11289,             0.04294,            0.043164,           0.0049412,             0.29806,            0.010042,           0.0023473,             0.08811,            0.039116,            0.038136,            0.070833,           0.0032407,           0.0032407
                   1,             0.08466,             0.04374,            0.037742,             0.30141,            0.080312,            0.028583,           0.0068328,            0.083147,            0.029101,            0.035453,            0.040768,            0.006509,            0.006509
                   2,            0.076175,            0.034571,            0.035688,             0.22011,             0.25395,             0.18068,              0.0491,            0.082844,            0.022938,            0.032759,            0.010637,           0.0097112,           0.0097112
                   3,             0.07151,              0.0299,            0.034168,             0.18736,             0.32438,              0.1914,            0.056765,            0.064208,             0.02333,            0.031372,            0.009703,            0.009703,            0.009703
                   4,            0.064355,            0.029703,            0.032289,             0.46601,             0.34276,             0.22185,            0.079925,            0.059701,            0.021739,            0.029904,            0.009703,            0.009703,            0.009703
                   5,            0.058327,            0.027795,            0.031477,             0.31097,             0.62721,             0.43056,             0.17892,             0.05326,            0.021754,            0.028741,            0.009604,            0.009604,            0.009604
                   6,            0.053607,            0.027533,            0.029431,             0.32827,             0.65559,             0.45462,             0.20842,            0.047901,            0.021841,            0.026988,            0.009505,            0.009505,            0.009505
                   7,             0.05329,            0.026105,            0.027951,             0.36978,             0.61848,             0.41997,             0.15428,            0.053612,            0.019843,            0.026165,            0.009406,            0.009406,            0.009406
                   8,            0.050958,            0.027004,            0.027414,             0.42872,             0.68133,             0.56832,             0.24826,            0.044954,            0.020198,            0.025438,            0.009307,            0.009307,            0.009307
                   9,             0.04796,            0.025191,            0.026037,             0.47576,             0.69626,             0.60162,             0.25477,              0.0507,            0.019808,            0.024585,            0.009208,            0.009208,            0.009208
                  10,            0.046957,            0.024817,            0.024165,             0.54894,             0.66709,             0.61562,             0.30574,            0.041621,             0.01966,            0.023507,            0.009109,            0.009109,            0.009109
                  11,            0.045878,            0.023836,            0.021517,             0.64681,             0.66758,             0.68678,             0.32601,            0.042755,            0.018994,            0.021695,             0.00901,             0.00901,             0.00901
                  12,            0.045853,             0.02329,            0.019837,              0.7552,              0.6964,             0.76162,             0.35956,            0.042931,            0.019646,            0.020518,            0.008911,            0.008911,            0.008911
                  13,            0.044984,            0.023652,            0.018511,             0.70937,             0.70352,             0.73588,             0.35067,            0.044311,            0.019336,            0.020415,            0.008812,            0.008812,            0.008812
                  14,            0.044631,            0.022216,             0.01669,             0.77509,             0.74676,             0.79157,             0.40155,            0.040603,             0.02039,            0.017225,            0.008713,            0.008713,            0.008713
                  15,             0.04267,            0.022434,            0.015133,             0.75436,             0.72534,             0.77382,             0.36685,            0.045346,            0.018713,            0.015922,            0.008614,            0.008614,            0.008614
                  16,            0.042495,            0.022147,            0.013643,             0.76852,             0.75608,              0.8209,             0.42129,            0.039282,            0.018191,            0.015678,            0.008515,            0.008515,            0.008515
                  17,            0.041166,            0.023231,            0.013005,             0.78743,               0.741,             0.79805,             0.41869,            0.039325,             0.01974,            0.015275,            0.008416,            0.008416,            0.008416
                  18,            0.040615,            0.023282,            0.012511,             0.79278,             0.77542,              0.8119,             0.42234,            0.040545,            0.018871,            0.013846,            0.008317,            0.008317,            0.008317
                  19,            0.040892,            0.022578,            0.011671,             0.80541,             0.78357,               0.851,             0.48656,            0.037065,            0.018168,            0.017693,            0.008218,            0.008218,            0.008218
                  20,            0.041027,            0.022467,            0.011141,             0.82766,             0.77896,             0.84946,             0.46178,            0.037207,            0.020474,            0.013396,            0.008119,            0.008119,            0.008119
                  21,            0.040129,            0.022789,            0.010479,             0.78084,             0.79002,             0.82779,              0.4473,             0.03705,            0.020616,             0.01775,             0.00802,             0.00802,             0.00802
                  22,            0.039876,            0.022414,           0.0097496,             0.84132,             0.75428,             0.84005,             0.47746,            0.036196,            0.020232,            0.015647,            0.007921,            0.007921,            0.007921
                  23,            0.040506,             0.02165,           0.0095701,             0.84159,              0.7941,             0.84916,             0.43433,            0.037023,            0.019967,            0.011716,            0.007822,            0.007822,            0.007822
                  24,            0.037937,            0.021344,           0.0089703,             0.86183,             0.80012,             0.86102,              0.4708,            0.038291,            0.019888,            0.011131,            0.007723,            0.007723,            0.007723
                  25,            0.037438,            0.020453,           0.0088549,             0.85585,             0.75897,             0.85695,             0.48102,            0.035995,            0.019562,            0.011283,            0.007624,            0.007624,            0.007624
                  26,            0.037612,            0.020523,           0.0085624,             0.79246,             0.79644,             0.84181,             0.45882,            0.037016,            0.019186,            0.013425,            0.007525,            0.007525,            0.007525
                  27,            0.036913,            0.020408,           0.0084982,              0.8457,             0.78452,             0.85417,             0.49512,            0.034386,             0.01902,            0.012804,            0.007426,            0.007426,            0.007426
                  28,            0.037574,              0.0204,           0.0077866,             0.80824,             0.82414,             0.87748,             0.49728,            0.035195,            0.017995,             0.01272,            0.007327,            0.007327,            0.007327
                  29,             0.03804,            0.021296,           0.0078355,             0.85133,             0.82512,             0.88771,             0.51713,            0.034168,            0.017736,            0.010201,            0.007228,            0.007228,            0.007228
                  30,            0.036206,             0.02028,           0.0073696,             0.82513,             0.81348,             0.87066,             0.51641,            0.034461,            0.017937,            0.011495,            0.007129,            0.007129,            0.007129
                  31,              0.0364,            0.020646,           0.0074934,             0.82492,             0.79845,             0.86801,             0.51186,            0.033543,            0.018019,            0.012242,             0.00703,             0.00703,             0.00703
                  32,            0.035581,            0.020707,           0.0075188,             0.85538,             0.79027,             0.87027,             0.49655,            0.034893,            0.016961,             0.01138,            0.006931,            0.006931,            0.006931
                  33,            0.034924,            0.020902,           0.0068553,             0.84251,             0.81225,             0.86675,             0.50313,            0.033028,              0.0168,            0.011158,            0.006832,            0.006832,            0.006832
                  34,            0.035621,            0.021263,           0.0068713,             0.84636,             0.82204,             0.86344,             0.50088,            0.032753,            0.016614,            0.012151,            0.006733,            0.006733,            0.006733
                  35,            0.034621,             0.02045,           0.0067328,             0.82021,             0.82177,             0.87081,             0.52419,            0.033224,            0.016896,            0.013893,            0.006634,            0.006634,            0.006634
                  36,            0.034011,            0.020232,           0.0062637,             0.85657,             0.82898,             0.86311,             0.51805,            0.031818,            0.017048,            0.012358,            0.006535,            0.006535,            0.006535
                  37,            0.032918,            0.021164,           0.0066207,             0.86537,             0.83544,             0.86596,             0.51705,            0.032743,            0.017588,            0.011387,            0.006436,            0.006436,            0.006436
                  38,            0.034097,            0.019624,           0.0065016,             0.83385,             0.83979,             0.87822,              0.4972,            0.034627,            0.016792,            0.011584,            0.006337,            0.006337,            0.006337
                  39,            0.034295,            0.019136,           0.0055624,             0.86092,             0.81767,             0.87787,             0.53835,            0.031184,            0.016786,            0.015382,            0.006238,            0.006238,            0.006238
                  40,            0.033048,            0.020264,           0.0055709,             0.82857,             0.84038,              0.8806,             0.52274,            0.032647,            0.017429,            0.016574,            0.006139,            0.006139,            0.006139
                  41,            0.032582,            0.019949,           0.0062155,             0.82251,             0.83226,             0.87208,             0.49807,            0.033212,            0.016813,            0.012743,             0.00604,             0.00604,             0.00604
                  42,            0.033324,            0.020549,           0.0061139,              0.8705,             0.80854,             0.87978,             0.52405,            0.031956,             0.01637,           0.0097539,            0.005941,            0.005941,            0.005941
                  43,            0.032808,            0.020724,           0.0055772,             0.82225,             0.82586,             0.87395,             0.54206,            0.030249,            0.016836,            0.011445,            0.005842,            0.005842,            0.005842
                  44,            0.032186,            0.019848,           0.0059706,              0.8782,             0.81341,             0.87987,              0.5355,            0.031448,            0.016794,            0.012627,            0.005743,            0.005743,            0.005743
                  45,             0.03137,            0.020265,           0.0056159,             0.86317,              0.8093,             0.87801,             0.54125,            0.031675,             0.01659,            0.012594,            0.005644,            0.005644,            0.005644
                  46,            0.031337,            0.019338,           0.0044774,             0.87736,              0.8186,             0.89273,             0.55088,            0.031184,            0.016532,             0.01123,            0.005545,            0.005545,            0.005545
                  47,            0.032032,             0.01923,           0.0057316,             0.86297,             0.80825,             0.89029,             0.54639,            0.031288,             0.01671,            0.012133,            0.005446,            0.005446,            0.005446
                  48,            0.031696,            0.020104,           0.0052545,             0.85407,             0.79946,             0.87385,             0.55819,            0.030288,            0.016745,            0.011713,            0.005347,            0.005347,            0.005347
                  49,            0.031281,            0.019219,           0.0049887,             0.89118,             0.81919,             0.89313,             0.54181,            0.031727,            0.016684,            0.010187,            0.005248,            0.005248,            0.005248
                  50,            0.030935,             0.01916,           0.0046453,             0.88319,             0.81123,             0.88087,             0.55225,            0.030492,            0.016414,            0.011182,            0.005149,            0.005149,            0.005149
                  51,            0.030811,            0.018353,           0.0045827,             0.86426,             0.83048,             0.88383,             0.56113,            0.029592,            0.016028,            0.012099,             0.00505,             0.00505,             0.00505
                  52,            0.031113,            0.019215,           0.0042936,             0.85836,             0.83551,               0.889,             0.56625,            0.029276,            0.016646,            0.010717,            0.004951,            0.004951,            0.004951
                  53,             0.03047,            0.019203,           0.0039647,             0.85064,             0.82636,             0.88693,             0.56255,            0.030806,            0.017873,            0.013353,            0.004852,            0.004852,            0.004852
                  54,            0.030533,            0.019008,           0.0046743,             0.86054,             0.82359,             0.88819,             0.56443,            0.030554,            0.016569,            0.012616,            0.004753,            0.004753,            0.004753
                  55,            0.030521,            0.018514,           0.0044616,             0.85239,             0.82003,             0.88252,              0.5631,            0.029348,            0.016284,            0.011133,            0.004654,            0.004654,            0.004654
                  56,             0.02994,            0.018533,           0.0042021,             0.85643,             0.84705,             0.88864,             0.55553,             0.03006,            0.016095,            0.015947,            0.004555,            0.004555,            0.004555
                  57,            0.029388,             0.01845,           0.0042294,             0.87964,             0.83078,             0.89053,             0.56891,             0.02996,            0.015992,            0.012502,            0.004456,            0.004456,            0.004456
                  58,            0.028845,            0.017641,           0.0042392,             0.84959,             0.79972,             0.86806,             0.54486,            0.029605,            0.016442,            0.013225,            0.004357,            0.004357,            0.004357
                  59,            0.029081,            0.018675,           0.0044238,             0.87165,             0.81965,              0.8908,             0.57877,            0.029178,            0.016206,           0.0098734,            0.004258,            0.004258,            0.004258
                  60,            0.028593,            0.017927,           0.0036753,             0.88635,              0.8244,             0.90134,             0.56717,            0.029146,            0.016156,           0.0095659,            0.004159,            0.004159,            0.004159
                  61,            0.028548,            0.017652,           0.0038027,             0.87674,             0.82452,             0.89415,             0.57346,            0.028211,            0.016596,            0.011057,             0.00406,             0.00406,             0.00406
                  62,            0.029146,            0.018745,           0.0043506,             0.86786,             0.83017,             0.89408,             0.57279,            0.029104,            0.016688,            0.016072,            0.003961,            0.003961,            0.003961
                  63,            0.028446,            0.018126,           0.0041898,              0.8645,              0.8024,             0.88157,             0.57408,            0.028867,            0.016729,            0.014164,            0.003862,            0.003862,            0.003862
                  64,            0.028566,            0.017897,           0.0036536,             0.85514,             0.84806,             0.89146,             0.57753,            0.028593,            0.016382,            0.012831,            0.003763,            0.003763,            0.003763
                  65,            0.027872,            0.018232,           0.0037141,             0.87698,             0.81964,              0.8924,             0.57185,            0.028715,            0.016551,             0.01748,            0.003664,            0.003664,            0.003664
                  66,            0.028141,            0.017727,           0.0039458,             0.88793,             0.78474,             0.87885,             0.57043,            0.028169,            0.016582,            0.019189,            0.003565,            0.003565,            0.003565
                  67,             0.02697,            0.017326,           0.0033794,             0.87285,             0.80278,             0.87762,             0.57219,            0.028501,            0.016613,            0.017139,            0.003466,            0.003466,            0.003466
                  68,            0.027744,            0.017396,           0.0037424,             0.86201,             0.84844,             0.89861,             0.57572,            0.028687,            0.016147,            0.013137,            0.003367,            0.003367,            0.003367
                  69,            0.027485,            0.018215,           0.0038161,             0.85542,              0.8378,             0.89332,             0.57728,            0.028788,            0.016324,            0.012961,            0.003268,            0.003268,            0.003268
                  70,            0.027213,             0.01844,           0.0035626,             0.87112,             0.81973,             0.89467,             0.57846,            0.028073,            0.016387,            0.012446,            0.003169,            0.003169,            0.003169
                  71,            0.026825,            0.017095,           0.0040164,               0.874,             0.82569,             0.88785,              0.5725,            0.028706,            0.016532,            0.014667,             0.00307,             0.00307,             0.00307
                  72,            0.026446,            0.017755,           0.0036909,             0.85384,             0.83361,             0.88425,             0.57696,            0.028076,            0.016624,            0.012124,            0.002971,            0.002971,            0.002971
                  73,            0.026681,            0.017104,           0.0029683,             0.87331,             0.82495,             0.89313,             0.58022,            0.027893,             0.01677,            0.010008,            0.002872,            0.002872,            0.002872
                  74,            0.026645,            0.017979,           0.0031946,              0.8811,             0.81426,             0.88818,             0.57336,            0.027884,            0.016906,            0.011721,            0.002773,            0.002773,            0.002773
                  75,            0.026801,            0.017674,           0.0034043,             0.86057,             0.84671,             0.89778,             0.58235,            0.027748,            0.016684,            0.010394,            0.002674,            0.002674,            0.002674
                  76,            0.026235,            0.017749,           0.0035108,             0.83713,             0.83432,             0.89111,             0.58585,            0.027344,            0.016429,             0.01097,            0.002575,            0.002575,            0.002575
                  77,            0.026162,            0.017131,           0.0032127,             0.85676,             0.83364,             0.89204,              0.5835,            0.028028,            0.016534,            0.011973,            0.002476,            0.002476,            0.002476
                  78,            0.026014,            0.016845,           0.0036498,             0.86706,             0.80464,             0.88884,             0.57816,            0.028625,            0.016605,            0.017135,            0.002377,            0.002377,            0.002377
                  79,            0.025601,             0.01693,            0.002845,             0.83857,             0.84665,             0.89204,             0.57767,            0.028175,            0.016544,            0.011705,            0.002278,            0.002278,            0.002278
                  80,            0.026217,            0.017768,           0.0029527,             0.86548,             0.82397,              0.8981,              0.5845,            0.028135,            0.016595,            0.012402,            0.002179,            0.002179,            0.002179
                  81,            0.025466,             0.01726,           0.0031634,             0.87212,             0.82716,             0.89451,             0.58162,            0.027977,            0.016614,            0.012995,             0.00208,             0.00208,             0.00208
                  82,            0.024729,            0.017542,           0.0025472,             0.83465,              0.8486,             0.89527,             0.58296,            0.028025,            0.016492,            0.015628,            0.001981,            0.001981,            0.001981
                  83,            0.025233,            0.016368,           0.0027736,             0.84707,             0.83014,             0.89657,             0.58907,            0.027384,            0.016499,            0.014061,            0.001882,            0.001882,            0.001882
                  84,            0.024812,            0.017984,           0.0024773,              0.8597,             0.81804,              0.8978,             0.58816,            0.027669,            0.016575,           0.0094642,            0.001783,            0.001783,            0.001783
                  85,            0.024968,            0.016771,            0.002664,             0.85396,             0.83412,             0.89825,             0.58469,            0.027766,            0.016548,            0.011377,            0.001684,            0.001684,            0.001684
                  86,            0.024605,            0.016215,           0.0025666,             0.86898,             0.81429,             0.89714,             0.58511,            0.027505,            0.016549,            0.014082,            0.001585,            0.001585,            0.001585
                  87,            0.024156,            0.016442,           0.0024502,             0.86364,             0.81799,             0.88931,              0.5851,            0.027269,            0.016445,            0.017532,            0.001486,            0.001486,            0.001486
                  88,            0.023817,            0.017155,           0.0026976,             0.86286,             0.82432,             0.89164,             0.58729,            0.027424,            0.016588,              0.0175,            0.001387,            0.001387,            0.001387
                  89,             0.02448,            0.016748,           0.0028176,             0.83632,             0.83833,             0.89897,             0.59043,            0.027363,            0.016525,            0.017157,            0.001288,            0.001288,            0.001288
                  90,             0.02437,            0.015721,           0.0027194,              0.8581,             0.84341,             0.90111,             0.59243,            0.027505,            0.016347,            0.014699,            0.001189,            0.001189,            0.001189
                  91,            0.023651,            0.016607,           0.0025137,             0.86268,             0.84246,              0.9002,             0.59317,            0.027349,            0.016437,            0.014338,             0.00109,             0.00109,             0.00109
                  92,            0.023901,            0.016861,           0.0024036,             0.87976,             0.82687,             0.89999,             0.59102,            0.027132,            0.016561,            0.012925,            0.000991,            0.000991,            0.000991
                  93,            0.024167,            0.016844,           0.0026485,             0.85981,              0.8448,             0.90231,              0.5941,            0.026939,            0.016434,            0.012959,            0.000892,            0.000892,            0.000892
                  94,            0.023362,            0.015573,           0.0019934,             0.88224,             0.83048,             0.90553,             0.59638,            0.027037,            0.016295,            0.012909,            0.000793,            0.000793,            0.000793
                  95,            0.023261,            0.016699,           0.0022301,             0.88225,             0.82866,             0.90561,             0.59833,             0.02712,             0.01626,            0.011367,            0.000694,            0.000694,            0.000694
                  96,              0.0238,            0.016203,           0.0024088,             0.88711,             0.82252,             0.90528,              0.6001,            0.026771,            0.016295,            0.011351,            0.000595,            0.000595,            0.000595
                  97,            0.023325,            0.016034,           0.0025216,             0.88552,             0.82996,             0.90499,             0.59747,            0.027006,            0.016372,            0.011588,            0.000496,            0.000496,            0.000496
                  98,            0.022182,            0.015939,           0.0023366,             0.87966,             0.83026,             0.90284,             0.60051,            0.026713,            0.016298,            0.011711,            0.000397,            0.000397,            0.000397
                  99,            0.022982,            0.016613,           0.0020729,             0.88182,              0.8303,             0.90174,             0.59661,            0.027014,            0.016276,            0.011555,            0.000298,            0.000298,            0.000298
