               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10581,            0.039939,             0.04146,            0.086716,             0.18927,            0.055336,            0.013338,            0.085665,            0.028473,            0.033901,            0.070142,           0.0033176,           0.0033176
                   1,            0.078339,            0.035102,            0.035088,             0.23972,             0.27267,             0.14859,            0.040904,             0.07256,            0.025859,            0.030231,            0.040076,           0.0065851,           0.0065851
                   2,            0.072283,            0.032828,            0.031323,             0.19244,             0.34988,             0.17885,             0.05785,            0.066472,            0.025311,            0.027709,           0.0099438,           0.0097866,           0.0097866
                   3,            0.066337,             0.03097,             0.02956,             0.28791,             0.50105,             0.31013,             0.12572,            0.052331,            0.025203,            0.026594,            0.009703,            0.009703,            0.009703
                   4,            0.059222,            0.030051,            0.028323,             0.37171,              0.5975,             0.43937,             0.18531,            0.046974,            0.025088,            0.025566,            0.009703,            0.009703,            0.009703
                   5,            0.055554,            0.029339,            0.027346,              0.3805,              0.5656,             0.48189,             0.19088,            0.045369,            0.024599,            0.024536,            0.009604,            0.009604,            0.009604
                   6,             0.05376,            0.029595,            0.025237,             0.44377,             0.64438,             0.54597,             0.23852,            0.045796,            0.023943,            0.021836,            0.009505,            0.009505,            0.009505
                   7,            0.052839,            0.029155,            0.021823,              0.5945,             0.61069,             0.59389,             0.26878,            0.045569,            0.025872,              0.0204,            0.009406,            0.009406,            0.009406
                   8,            0.051282,            0.028731,            0.018984,             0.72814,              0.6417,             0.70501,             0.32994,             0.04261,            0.023995,            0.016995,            0.009307,            0.009307,            0.009307
                   9,            0.049464,            0.028485,            0.016819,             0.77748,             0.60311,             0.69744,             0.33263,            0.042631,            0.024479,            0.016609,            0.009208,            0.009208,            0.009208
                  10,            0.048174,            0.028359,            0.015103,             0.72581,              0.6664,             0.72369,             0.31947,             0.04354,            0.025084,            0.014626,            0.009109,            0.009109,            0.009109
                  11,            0.048344,            0.027757,             0.01372,             0.77452,             0.68634,             0.75991,             0.33213,            0.042523,            0.024223,            0.012971,             0.00901,             0.00901,             0.00901
                  12,            0.047211,            0.027383,            0.012442,             0.82079,              0.6338,             0.73443,             0.34043,            0.042638,            0.024867,            0.012397,            0.008911,            0.008911,            0.008911
                  13,            0.046786,            0.027309,            0.011441,             0.77377,             0.67977,             0.73734,             0.33226,            0.042343,            0.025846,            0.012844,            0.008812,            0.008812,            0.008812
                  14,            0.045472,            0.027024,            0.011007,             0.74622,             0.68219,             0.75445,             0.35957,            0.040939,            0.024512,            0.013636,            0.008713,            0.008713,            0.008713
                  15,            0.045139,            0.027482,            0.010881,             0.77936,             0.66816,             0.75599,             0.37205,            0.041315,            0.024037,            0.015808,            0.008614,            0.008614,            0.008614
                  16,            0.044307,            0.027105,            0.010219,             0.80139,             0.68065,             0.76205,              0.3857,            0.039404,            0.023887,            0.013024,            0.008515,            0.008515,            0.008515
                  17,            0.043976,            0.026348,           0.0096093,               0.783,             0.70094,             0.77054,             0.37646,             0.04011,            0.023861,            0.012576,            0.008416,            0.008416,            0.008416
                  18,            0.043219,            0.026502,           0.0096071,             0.73955,             0.69587,             0.73158,             0.35125,            0.041448,            0.024827,            0.014111,            0.008317,            0.008317,            0.008317
                  19,            0.043408,            0.026464,           0.0093283,             0.74403,             0.70525,             0.75984,             0.37102,            0.040972,            0.024346,            0.014232,            0.008218,            0.008218,            0.008218
