               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10568,            0.040008,             0.04502,             0.10448,             0.17823,            0.079334,            0.019152,            0.076612,            0.029771,            0.038115,            0.070142,           0.0033176,           0.0033176
                   1,            0.077927,            0.035256,            0.039468,             0.25579,             0.31078,             0.15966,             0.05264,            0.071997,            0.025657,            0.035566,            0.040076,           0.0065851,           0.0065851
                   2,            0.071947,            0.032906,            0.036888,             0.35427,               0.453,             0.31525,             0.10505,            0.061486,            0.027039,            0.033449,           0.0099438,           0.0097866,           0.0097866
                   3,            0.064514,            0.031304,            0.035289,             0.36851,             0.54584,             0.35937,             0.12303,            0.053606,            0.025767,             0.03283,            0.009703,            0.009703,            0.009703
                   4,            0.057708,            0.030491,            0.034558,             0.38779,              0.5974,             0.44241,             0.16904,            0.051325,            0.024659,             0.03215,            0.009703,            0.009703,            0.009703
                   5,            0.055381,            0.029363,            0.034109,             0.40023,             0.58471,             0.45528,             0.14206,            0.050686,            0.024111,            0.031693,            0.009604,            0.009604,            0.009604
                   6,            0.051928,            0.029491,            0.033386,             0.41526,             0.64276,             0.49753,             0.20465,            0.045346,            0.024289,            0.031133,            0.009505,            0.009505,            0.009505
                   7,            0.050823,            0.028898,            0.032499,             0.47897,             0.62184,             0.55789,             0.25333,            0.043862,            0.024354,            0.029904,            0.009406,            0.009406,            0.009406
                   8,            0.049942,            0.028343,            0.030772,             0.66349,              0.6204,             0.63336,             0.29769,            0.042704,            0.024351,            0.028206,            0.009307,            0.009307,            0.009307
                   9,            0.048722,            0.028204,            0.028504,             0.75961,             0.61164,             0.67145,             0.32493,            0.041789,            0.024212,            0.026443,            0.009208,            0.009208,            0.009208
                  10,            0.046827,            0.027817,             0.02652,             0.71744,             0.64732,             0.69951,             0.32966,            0.041032,            0.024817,            0.025816,            0.009109,            0.009109,            0.009109
                  11,            0.046964,            0.027484,            0.025518,              0.7608,             0.62614,             0.71351,             0.34317,            0.043196,            0.024087,            0.024836,             0.00901,             0.00901,             0.00901
                  12,            0.045093,            0.027106,            0.024067,             0.76709,             0.65593,             0.72922,             0.34528,             0.04232,             0.02416,            0.023256,            0.008911,            0.008911,            0.008911
                  13,            0.045061,            0.026894,            0.023231,             0.77298,             0.68329,             0.74157,             0.35828,             0.04061,            0.025039,             0.02271,            0.008812,            0.008812,            0.008812
                  14,             0.04419,            0.026777,            0.022791,             0.74498,             0.70455,             0.75699,             0.37512,            0.039728,            0.023791,            0.022721,            0.008713,            0.008713,            0.008713
                  15,            0.043691,             0.02698,             0.02255,             0.77626,              0.6851,             0.75374,              0.3715,            0.042343,            0.024362,            0.023629,            0.008614,            0.008614,            0.008614
                  16,            0.043143,            0.026595,            0.021583,             0.77755,             0.74799,             0.79843,             0.40263,            0.037094,            0.022957,            0.022518,            0.008515,            0.008515,            0.008515
                  17,            0.042263,            0.025895,             0.02155,             0.78344,             0.69036,             0.77163,             0.39831,            0.037926,            0.022818,            0.023466,            0.008416,            0.008416,            0.008416
                  18,             0.04228,            0.025959,             0.02129,             0.75515,              0.6876,             0.76388,             0.37875,            0.040294,            0.023722,            0.023244,            0.008317,            0.008317,            0.008317
                  19,            0.040862,            0.025686,            0.021127,             0.80805,             0.65381,             0.75697,             0.37811,            0.039607,            0.023966,            0.023671,            0.008218,            0.008218,            0.008218
                  20,            0.040266,            0.024732,            0.020895,             0.77455,             0.73494,              0.7923,             0.41672,            0.037546,            0.023355,            0.022196,            0.008119,            0.008119,            0.008119
                  21,            0.040728,            0.025499,            0.020491,             0.79505,             0.72734,              0.7779,             0.38469,            0.039442,             0.02343,            0.023172,             0.00802,             0.00802,             0.00802
                  22,             0.04022,            0.025986,            0.020264,              0.7763,              0.7535,             0.79579,             0.41051,            0.037221,            0.022908,            0.023516,            0.007921,            0.007921,            0.007921
                  23,             0.03984,            0.025133,            0.019889,             0.78664,             0.74205,             0.79631,             0.43374,            0.036559,            0.024273,            0.021846,            0.007822,            0.007822,            0.007822
