               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12026,            0.035992,            0.045489,           0.0023752,             0.24936,           0.0072444,           0.0015187,             0.10104,            0.029723,             0.03811,            0.070417,            0.003287,            0.003287
                   1,            0.090894,            0.037764,            0.037459,             0.29588,            0.086061,            0.034397,            0.007114,            0.088708,            0.024979,             0.03584,            0.040351,           0.0065548,           0.0065548
                   2,            0.080953,            0.033183,            0.035581,            0.084679,             0.18897,             0.06613,            0.018846,            0.078258,              0.0233,             0.03355,             0.01022,           0.0097566,           0.0097566
                   3,            0.079204,            0.031409,             0.03469,             0.24779,             0.26834,             0.17718,            0.052924,            0.074908,            0.020789,            0.031706,            0.009703,            0.009703,            0.009703
                   4,            0.072091,            0.031086,            0.032659,             0.23124,             0.40841,             0.21345,            0.066241,            0.063724,            0.021224,            0.029967,            0.009703,            0.009703,            0.009703
                   5,            0.064527,            0.028023,            0.031528,               0.219,             0.52087,             0.21493,            0.071021,            0.063822,            0.020789,            0.028661,            0.009604,            0.009604,            0.009604
                   6,            0.061624,            0.030037,            0.029621,             0.37086,             0.54641,             0.40968,             0.15255,            0.053605,            0.021803,            0.027859,            0.009505,            0.009505,            0.009505
                   7,            0.056857,            0.028022,            0.028701,             0.28608,             0.60516,             0.37467,             0.16638,            0.052179,            0.021132,            0.026855,            0.009406,            0.009406,            0.009406
                   8,            0.054214,            0.026505,            0.028203,              0.3626,             0.56658,             0.40105,             0.15129,            0.051896,            0.021282,            0.026591,            0.009307,            0.009307,            0.009307
                   9,            0.053519,            0.027001,            0.028021,             0.44286,             0.67978,             0.50678,             0.20473,             0.04678,             0.01918,            0.026387,            0.009208,            0.009208,            0.009208
                  10,            0.050522,            0.026492,            0.027314,             0.45325,             0.68293,             0.52296,             0.23015,             0.04736,            0.019278,            0.025646,            0.009109,            0.009109,            0.009109
                  11,            0.048401,            0.025507,            0.026699,             0.48048,             0.67133,             0.55813,             0.23391,            0.046087,            0.019333,            0.024892,             0.00901,             0.00901,             0.00901
                  12,            0.050225,            0.025449,              0.0257,             0.56192,             0.66312,             0.61152,             0.28792,            0.043035,            0.018847,            0.024345,            0.008911,            0.008911,            0.008911
                  13,            0.047321,            0.024661,            0.025251,             0.62328,             0.61571,             0.63913,             0.30724,            0.043217,            0.018352,            0.023859,            0.008812,            0.008812,            0.008812
                  14,            0.047827,            0.025925,            0.025043,             0.60795,             0.62552,             0.61645,              0.2327,            0.047206,            0.017874,            0.023155,            0.008713,            0.008713,            0.008713
                  15,            0.046856,            0.024465,            0.023974,             0.57961,             0.67516,             0.62964,             0.30191,            0.044238,            0.019237,            0.022833,            0.008614,            0.008614,            0.008614
                  16,            0.046538,            0.024567,             0.02326,             0.61664,             0.68329,             0.67928,             0.29217,            0.042896,            0.018176,            0.022031,            0.008515,            0.008515,            0.008515
                  17,            0.045071,            0.023825,            0.022072,             0.66979,             0.67033,             0.70759,             0.36223,            0.042763,             0.01812,            0.020693,            0.008416,            0.008416,            0.008416
                  18,            0.044659,            0.025453,            0.020902,             0.58154,             0.69597,             0.62761,             0.30211,            0.041788,            0.018126,            0.018932,            0.008317,            0.008317,            0.008317
                  19,            0.045128,            0.026019,            0.018668,             0.74154,             0.67367,             0.74571,             0.37916,            0.040864,            0.019096,            0.018166,            0.008218,            0.008218,            0.008218
                  20,            0.045494,            0.023626,            0.017796,             0.74879,              0.6764,             0.75158,             0.39349,            0.042547,            0.018595,            0.017539,            0.008119,            0.008119,            0.008119
                  21,             0.04442,             0.02468,            0.016777,             0.77097,             0.69411,             0.78517,             0.38675,            0.039149,            0.018961,            0.016734,             0.00802,             0.00802,             0.00802
                  22,            0.043659,            0.024438,            0.016739,             0.72939,             0.71162,             0.76017,             0.35052,             0.04246,            0.018202,            0.015376,            0.007921,            0.007921,            0.007921
                  23,            0.043955,            0.024969,            0.014862,             0.69899,             0.73185,              0.7634,             0.37549,            0.040871,            0.017805,            0.015185,            0.007822,            0.007822,            0.007822
                  24,            0.043398,            0.024266,            0.013962,             0.75575,             0.70127,             0.75982,             0.35068,            0.042008,            0.020569,            0.015436,            0.007723,            0.007723,            0.007723
                  25,            0.042679,            0.024624,            0.013517,             0.78296,             0.67099,             0.76679,             0.35898,            0.042062,            0.018297,            0.013812,            0.007624,            0.007624,            0.007624
                  26,            0.043498,            0.024859,            0.013938,             0.78737,             0.75278,             0.80844,             0.41957,              0.0378,            0.017566,            0.014057,            0.007525,            0.007525,            0.007525
                  27,            0.042963,            0.023627,            0.012812,              0.7972,             0.73905,             0.81356,             0.42186,            0.038397,             0.01739,            0.013948,            0.007426,            0.007426,            0.007426
                  28,            0.042902,            0.023825,            0.012193,             0.73372,             0.74886,             0.79769,             0.39134,            0.040234,            0.017807,            0.014021,            0.007327,            0.007327,            0.007327
                  29,             0.04106,            0.022986,            0.012226,             0.71359,             0.75876,             0.78183,             0.40474,            0.038741,            0.017696,            0.012397,            0.007228,            0.007228,            0.007228
                  30,            0.041578,            0.022942,            0.011618,             0.77992,             0.72205,             0.78841,             0.42665,            0.036845,            0.018538,             0.01563,            0.007129,            0.007129,            0.007129
                  31,            0.040628,            0.023798,            0.010771,             0.80672,             0.78287,             0.84232,              0.4611,            0.037253,            0.018003,            0.011932,             0.00703,             0.00703,             0.00703
                  32,             0.03935,            0.023793,            0.011201,             0.79746,             0.79506,              0.8417,             0.43858,            0.038116,            0.017724,            0.013799,            0.006931,            0.006931,            0.006931
                  33,            0.039985,            0.024904,            0.010607,             0.78416,             0.78726,             0.83782,             0.44894,            0.037899,            0.017278,              0.0121,            0.006832,            0.006832,            0.006832
                  34,            0.039262,            0.022049,            0.010905,             0.76627,             0.73629,             0.78996,             0.42453,            0.036368,             0.01812,            0.012907,            0.006733,            0.006733,            0.006733
                  35,            0.039794,            0.022838,           0.0094576,             0.82515,             0.75688,              0.8384,             0.43653,            0.038502,             0.01786,            0.011725,            0.006634,            0.006634,            0.006634
                  36,            0.039547,            0.023984,           0.0099095,             0.83527,             0.75686,             0.84374,             0.46753,            0.034797,            0.016882,            0.011898,            0.006535,            0.006535,            0.006535
                  37,            0.038771,            0.023232,           0.0096704,             0.78344,             0.75221,             0.80767,             0.44887,            0.035262,            0.018226,             0.01457,            0.006436,            0.006436,            0.006436
                  38,            0.038269,            0.022577,           0.0093932,             0.80646,             0.74948,             0.83555,             0.44625,            0.036801,            0.017409,             0.01218,            0.006337,            0.006337,            0.006337
                  39,            0.038052,            0.022369,           0.0087796,             0.80734,              0.7821,             0.84072,             0.45761,             0.03667,             0.01791,            0.011798,            0.006238,            0.006238,            0.006238
                  40,            0.038119,             0.02204,           0.0088696,             0.80689,             0.79329,             0.85196,             0.47773,            0.034654,            0.017263,            0.010439,            0.006139,            0.006139,            0.006139
                  41,            0.037617,            0.022289,           0.0089048,              0.7789,              0.8095,             0.83369,             0.45517,            0.035147,            0.017735,            0.011458,             0.00604,             0.00604,             0.00604
                  42,            0.037799,            0.022584,           0.0086055,             0.76968,             0.80083,              0.8377,             0.45393,            0.035333,            0.016984,            0.011782,            0.005941,            0.005941,            0.005941
                  43,            0.037285,            0.021739,            0.008579,             0.79971,             0.79867,             0.84971,              0.4641,            0.034722,            0.017362,            0.011392,            0.005842,            0.005842,            0.005842
                  44,            0.036581,            0.022006,           0.0083644,             0.84306,             0.75176,             0.84368,             0.47751,            0.034721,            0.017223,            0.012084,            0.005743,            0.005743,            0.005743
                  45,            0.037109,            0.022908,           0.0081433,             0.77716,             0.79567,             0.84444,             0.48371,            0.033637,            0.016722,            0.011518,            0.005644,            0.005644,            0.005644
                  46,            0.036395,            0.021795,           0.0083402,             0.80162,             0.77241,             0.84184,             0.46833,            0.035679,            0.017618,            0.011955,            0.005545,            0.005545,            0.005545
                  47,            0.036607,            0.022705,           0.0085524,             0.83413,              0.7674,             0.84705,             0.46285,            0.035226,            0.018085,            0.011352,            0.005446,            0.005446,            0.005446
                  48,            0.036598,            0.021131,           0.0083408,             0.81219,             0.77824,             0.84981,             0.47647,            0.035144,            0.017422,            0.011503,            0.005347,            0.005347,            0.005347
                  49,            0.036489,            0.022979,            0.008206,             0.80517,             0.78009,             0.85624,             0.49861,            0.033211,            0.016724,            0.010857,            0.005248,            0.005248,            0.005248
                  50,            0.036438,            0.021381,           0.0077702,             0.79537,             0.77812,             0.84389,             0.49108,            0.032761,            0.016568,            0.010971,            0.005149,            0.005149,            0.005149
                  51,            0.036603,            0.022637,           0.0075948,             0.81575,             0.76062,             0.83004,              0.4568,            0.034673,            0.018181,            0.011499,             0.00505,             0.00505,             0.00505
                  52,            0.036478,            0.021363,           0.0072261,             0.82499,             0.79166,             0.85954,             0.49474,            0.033619,            0.018304,            0.009929,            0.004951,            0.004951,            0.004951
                  53,            0.035271,            0.021463,           0.0079621,             0.76509,              0.8382,             0.85999,             0.48877,            0.033085,             0.01675,            0.010778,            0.004852,            0.004852,            0.004852
                  54,            0.036493,            0.021483,           0.0073789,             0.86364,             0.76189,             0.86263,             0.48862,            0.033839,            0.017117,            0.010038,            0.004753,            0.004753,            0.004753
                  55,            0.035477,            0.020607,           0.0066239,             0.86763,             0.76209,               0.857,             0.49964,            0.033605,            0.016956,            0.010724,            0.004654,            0.004654,            0.004654
                  56,            0.034803,            0.022132,           0.0064957,             0.82166,              0.7724,             0.84722,             0.47781,            0.033977,             0.01777,           0.0095799,            0.004555,            0.004555,            0.004555
                  57,            0.034443,            0.022115,           0.0065513,             0.82399,             0.77546,             0.85598,             0.48757,            0.033164,            0.017969,            0.011325,            0.004456,            0.004456,            0.004456
                  58,             0.03496,             0.02162,           0.0067305,             0.85075,             0.79245,             0.86816,             0.51089,            0.032456,            0.018544,           0.0097565,            0.004357,            0.004357,            0.004357
                  59,            0.032954,            0.020909,           0.0059819,             0.86184,             0.79583,             0.87251,             0.51348,            0.032194,            0.016969,           0.0099814,            0.004258,            0.004258,            0.004258
                  60,            0.034311,            0.021829,           0.0065764,             0.85276,              0.7788,             0.84879,             0.50728,            0.033302,            0.017503,            0.011651,            0.004159,            0.004159,            0.004159
                  61,            0.034221,            0.020622,           0.0070882,             0.84234,             0.76619,             0.85479,             0.49703,             0.03217,            0.016698,            0.010163,             0.00406,             0.00406,             0.00406
                  62,            0.032902,            0.021031,           0.0060077,             0.82047,             0.79007,             0.84322,             0.49952,            0.033373,            0.017609,            0.010262,            0.003961,            0.003961,            0.003961
                  63,            0.032452,            0.020722,           0.0061243,             0.81713,             0.79599,             0.84948,             0.49511,            0.032523,            0.016887,            0.011863,            0.003862,            0.003862,            0.003862
                  64,            0.033147,            0.020999,           0.0064134,             0.83952,             0.81316,             0.87074,             0.52149,            0.031541,            0.016448,           0.0098933,            0.003763,            0.003763,            0.003763
                  65,             0.03353,            0.020985,           0.0065115,             0.82744,             0.78876,             0.85771,             0.51195,            0.033333,            0.017439,           0.0097414,            0.003664,            0.003664,            0.003664
                  66,            0.033561,            0.021818,           0.0064065,             0.87882,             0.79625,             0.87705,             0.51429,            0.033426,            0.017254,            0.008573,            0.003565,            0.003565,            0.003565
                  67,            0.032386,            0.021093,           0.0057178,             0.85676,              0.8038,             0.87386,             0.52248,            0.031507,            0.016747,           0.0097086,            0.003466,            0.003466,            0.003466
                  68,            0.033351,             0.02164,           0.0060374,             0.89586,             0.78118,              0.8765,             0.52183,             0.03133,            0.016492,            0.010105,            0.003367,            0.003367,            0.003367
                  69,            0.032894,            0.019914,           0.0054114,             0.86534,             0.78852,             0.86196,             0.51131,            0.032609,            0.017295,             0.01201,            0.003268,            0.003268,            0.003268
                  70,            0.032491,            0.021212,            0.005975,             0.87045,             0.80429,             0.87531,             0.52111,            0.031423,            0.016116,           0.0090638,            0.003169,            0.003169,            0.003169
                  71,            0.032226,            0.020749,           0.0053454,             0.87735,             0.80925,             0.88327,             0.52697,            0.031205,            0.016096,           0.0086758,             0.00307,             0.00307,             0.00307
                  72,            0.033036,            0.020432,           0.0053363,             0.83662,             0.81741,             0.87112,             0.52268,            0.032383,            0.016528,           0.0095471,            0.002971,            0.002971,            0.002971
                  73,            0.032702,            0.020733,           0.0052978,             0.88264,             0.80714,             0.87763,              0.5215,            0.031929,            0.016599,           0.0090587,            0.002872,            0.002872,            0.002872
                  74,            0.031435,            0.020698,           0.0053298,             0.86557,             0.79098,               0.861,             0.50616,            0.032928,            0.016902,            0.009159,            0.002773,            0.002773,            0.002773
                  75,            0.031076,            0.021049,           0.0055249,              0.8639,             0.80452,             0.86742,             0.51729,            0.032736,            0.016576,           0.0099643,            0.002674,            0.002674,            0.002674
                  76,            0.031269,            0.020098,           0.0049854,             0.85489,             0.80649,             0.86427,             0.52099,            0.031767,            0.016623,            0.010142,            0.002575,            0.002575,            0.002575
                  77,            0.031608,            0.020122,           0.0054609,             0.84628,             0.81588,             0.86854,             0.53152,             0.03104,            0.016212,            0.011008,            0.002476,            0.002476,            0.002476
                  78,            0.031418,            0.020156,           0.0053911,              0.8539,             0.82515,             0.88251,             0.53966,             0.03041,            0.016086,           0.0097042,            0.002377,            0.002377,            0.002377
                  79,            0.030955,            0.020001,           0.0047222,              0.8483,             0.81414,             0.87173,             0.52805,            0.031271,            0.016467,             0.01049,            0.002278,            0.002278,            0.002278
                  80,            0.031299,            0.019011,           0.0047113,             0.81644,               0.833,             0.86585,             0.52528,            0.031972,            0.016143,            0.010965,            0.002179,            0.002179,            0.002179
                  81,             0.03068,             0.02082,           0.0045497,             0.83988,             0.82246,             0.86747,             0.53049,            0.031122,            0.016335,            0.011086,             0.00208,             0.00208,             0.00208
                  82,            0.030393,            0.020179,           0.0047076,             0.84026,             0.82556,             0.86778,             0.52747,            0.031492,            0.016368,            0.010882,            0.001981,            0.001981,            0.001981
                  83,            0.031077,            0.021508,           0.0047257,             0.86076,             0.81483,             0.87631,             0.53576,            0.031548,            0.016444,            0.010114,            0.001882,            0.001882,            0.001882
                  84,            0.031054,            0.021139,           0.0049207,             0.84151,             0.82632,             0.87354,             0.53222,            0.031231,             0.01653,            0.011725,            0.001783,            0.001783,            0.001783
                  85,            0.029178,            0.019214,           0.0043056,             0.84167,             0.83459,             0.88011,             0.53976,            0.030404,            0.016069,            0.011058,            0.001684,            0.001684,            0.001684
                  86,            0.030267,            0.019773,           0.0051768,             0.84282,             0.83885,             0.87661,             0.54067,            0.030375,            0.016239,           0.0098222,            0.001585,            0.001585,            0.001585
                  87,            0.030375,            0.019763,           0.0049524,             0.85334,             0.82258,             0.87129,             0.53472,            0.030695,            0.016217,            0.010127,            0.001486,            0.001486,            0.001486
                  88,            0.029408,            0.019921,           0.0042358,             0.84717,             0.83408,             0.87673,             0.53964,              0.0308,            0.015895,           0.0097705,            0.001387,            0.001387,            0.001387
                  89,            0.029978,            0.019969,           0.0047851,             0.86579,             0.84964,             0.88667,             0.54418,            0.030316,            0.015854,           0.0090903,            0.001288,            0.001288,            0.001288
                  90,            0.030066,            0.019915,           0.0045155,             0.85554,             0.82988,             0.88385,             0.54087,            0.030633,            0.015935,           0.0096955,            0.001189,            0.001189,            0.001189
                  91,            0.029646,            0.019374,           0.0041471,              0.8634,             0.82756,             0.88545,             0.54081,            0.031015,            0.016069,           0.0096068,             0.00109,             0.00109,             0.00109
                  92,            0.029114,            0.018877,           0.0043552,             0.86392,              0.8277,             0.88313,             0.54284,            0.030183,            0.015964,           0.0092239,            0.000991,            0.000991,            0.000991
                  93,            0.029232,            0.019043,           0.0049953,             0.86077,             0.82668,             0.88287,             0.54624,             0.03018,            0.015946,           0.0097983,            0.000892,            0.000892,            0.000892
                  94,            0.029075,            0.018666,           0.0039731,             0.86848,             0.82105,             0.88452,             0.54746,            0.030317,            0.015833,           0.0099668,            0.000793,            0.000793,            0.000793
                  95,            0.029349,            0.019295,           0.0041198,             0.87118,             0.82533,              0.8864,             0.54613,            0.030433,            0.015898,            0.010008,            0.000694,            0.000694,            0.000694
                  96,            0.029532,            0.019643,           0.0044408,             0.87227,              0.8184,              0.8873,             0.54665,            0.030458,            0.016032,           0.0094966,            0.000595,            0.000595,            0.000595
                  97,            0.029237,            0.019375,           0.0040889,             0.86983,             0.82493,             0.89196,             0.54966,            0.029928,            0.015895,            0.008773,            0.000496,            0.000496,            0.000496
