               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1106,             0.04361,            0.043096,            0.036681,            0.051696,            0.017421,           0.0033039,            0.092534,            0.036481,             0.03759,            0.070833,           0.0032407,           0.0032407
                   1,            0.084852,            0.040618,            0.037357,             0.41013,             0.18326,             0.10486,            0.031998,            0.081818,            0.027619,            0.034746,             0.04079,           0.0065307,           0.0065307
                   2,            0.076683,            0.032625,            0.035226,               0.175,              0.2553,             0.13936,            0.043074,             0.07385,             0.02388,            0.032592,            0.010703,           0.0097766,           0.0097766
                   3,            0.071699,            0.031834,            0.033761,             0.14535,             0.42872,             0.16952,            0.047619,            0.067755,            0.022428,            0.030824,            0.009802,            0.009802,            0.009802
                   4,             0.06463,            0.029235,            0.031806,             0.26113,             0.36288,             0.28856,             0.10386,            0.061863,            0.021426,            0.028953,            0.009802,            0.009802,            0.009802
                   5,            0.058884,            0.026061,            0.030316,             0.28887,             0.58768,             0.40741,             0.14166,            0.051064,            0.022661,            0.027811,            0.009736,            0.009736,            0.009736
                   6,            0.054457,            0.027839,            0.028701,             0.56354,             0.47383,             0.41184,             0.15861,            0.054707,            0.021996,            0.026473,             0.00967,             0.00967,             0.00967
                   7,            0.051278,            0.024677,            0.027338,             0.40494,             0.69985,             0.52046,             0.22194,            0.045047,            0.021625,            0.025559,            0.009604,            0.009604,            0.009604
                   8,             0.04955,            0.025338,            0.026597,             0.40753,             0.69779,             0.54631,             0.24856,            0.048908,            0.021753,            0.024072,            0.009538,            0.009538,            0.009538
                   9,            0.049013,            0.023716,            0.025059,             0.50541,             0.69324,             0.63508,             0.29733,            0.042891,            0.019952,            0.023982,            0.009472,            0.009472,            0.009472
                  10,            0.047035,            0.023611,            0.022571,             0.55871,             0.72312,             0.69668,             0.34452,            0.042881,            0.019449,            0.021751,            0.009406,            0.009406,            0.009406
                  11,            0.046534,            0.023519,            0.020519,             0.64463,             0.69067,             0.67396,             0.30213,            0.044225,            0.019479,            0.019669,             0.00934,             0.00934,             0.00934
                  12,            0.045374,             0.02312,            0.018032,             0.75132,             0.70804,             0.77427,              0.4039,            0.038665,            0.018569,            0.020096,            0.009274,            0.009274,            0.009274
                  13,            0.044544,            0.022151,            0.017048,             0.76903,             0.72092,             0.76364,              0.3587,            0.046298,            0.018453,            0.019198,            0.009208,            0.009208,            0.009208
                  14,            0.043761,            0.023116,            0.016285,             0.73764,             0.71423,             0.77132,             0.40812,            0.040253,            0.020375,            0.017246,            0.009142,            0.009142,            0.009142
                  15,            0.042378,            0.022694,            0.014314,             0.69968,             0.72563,             0.74023,              0.3892,            0.041426,            0.018559,            0.015535,            0.009076,            0.009076,            0.009076
                  16,            0.042958,            0.022821,            0.013848,             0.76886,                0.75,              0.8107,             0.45197,             0.03876,            0.018921,            0.017555,             0.00901,             0.00901,             0.00901
                  17,            0.042188,            0.022025,             0.01297,             0.80471,             0.73865,             0.79804,             0.37112,            0.043223,            0.019793,             0.01593,            0.008944,            0.008944,            0.008944
                  18,            0.042026,            0.023389,            0.011095,             0.79904,             0.75784,             0.80891,              0.4406,            0.037757,            0.019966,            0.017339,            0.008878,            0.008878,            0.008878
                  19,            0.041657,            0.023503,            0.010141,             0.77579,             0.71927,             0.78377,             0.39057,            0.041513,            0.019318,            0.016734,            0.008812,            0.008812,            0.008812
                  20,            0.040607,            0.021682,            0.010628,             0.79796,             0.74572,             0.81825,             0.45143,            0.038456,            0.019053,            0.015444,            0.008746,            0.008746,            0.008746
                  21,            0.039876,            0.022373,           0.0099014,              0.7598,             0.76858,             0.79997,             0.43109,            0.040167,            0.019824,            0.014891,             0.00868,             0.00868,             0.00868
                  22,            0.039932,            0.022109,             0.01024,             0.77234,             0.79142,             0.83198,             0.46643,            0.036744,            0.019512,            0.015578,            0.008614,            0.008614,            0.008614
                  23,            0.041038,            0.022537,           0.0094991,             0.83725,             0.78096,             0.84926,             0.45001,            0.040783,            0.020173,            0.012394,            0.008548,            0.008548,            0.008548
                  24,            0.039761,            0.021612,           0.0091575,             0.82935,              0.7924,             0.84664,             0.46522,            0.036262,            0.019286,            0.012005,            0.008482,            0.008482,            0.008482
                  25,            0.038877,            0.022384,           0.0091886,             0.80929,             0.79561,             0.84063,             0.44412,            0.036937,            0.018398,            0.015882,            0.008416,            0.008416,            0.008416
                  26,            0.038249,            0.022095,           0.0089885,             0.80626,             0.78187,             0.83204,             0.45594,            0.037661,            0.017859,            0.017581,             0.00835,             0.00835,             0.00835
                  27,            0.039257,            0.022007,           0.0079617,             0.83108,             0.81241,             0.86482,             0.48035,            0.035099,            0.018349,            0.011656,            0.008284,            0.008284,            0.008284
                  28,            0.037903,            0.020868,           0.0079124,             0.76984,              0.7474,             0.79802,             0.40391,            0.038425,            0.019843,            0.013628,            0.008218,            0.008218,            0.008218
                  29,            0.038327,            0.020507,           0.0073844,             0.83227,             0.80656,             0.85766,             0.50294,            0.034719,            0.018742,            0.011662,            0.008152,            0.008152,            0.008152
